"Console","Type","Code","Bitmask","IsError","Name","Description"
"XOP","SMC","0xE042",,1,"FATAL_V_5P0_I2C_UNREACHABLE","U3E2 I2C unreachable -> Check surrounding traces, R3E18, R3E20, replace U3E2"
"XOP","SMC","0xE046",,1,"FATAL_GFXCPU_I2C_UNREACHABLE","NCP4204 I2C unreachable -> Check R9C1, R9C2, surrounding traces, replace U9C2"
"XOP","SMC","0xE04A",,1,"FATAL_MEMIOAB","U9F2 I2C unreachable -> Check surrounding traces, R9F11, R9F6, replace U9F2"
"XOP","SMC","0xE04B",,1,"FATAL_MEMIOCD","U6C1 I2C unreachable -> Check surrounding traces, R5C11, R5C10, replace U6C1"
"XOP","SMC","0xE081",,1,"FATAL_V12_HW_FAILURE","Thrown when console unplugged unexpectedly, check powersupply. 12V unstable, maybe V_EXT (R5R20, R5R19), check PSU_V12P0_EN (R9A2, R9B2)"
"XOP","SMC","0xE082",,1,"FATAL_V5_HW_FAILURE","Thrown when console unplugged unexpectedly, check powersupply. Unstable V_5P0, check C3E15."
"XOP","SMC","0xE083",,1,"FATAL_PWRGPA_HW_FAILURE","Thrown when console unplugged unexpectedly, VREG_PWRGPA_PWRGD went low while console was on, V_3P3, V_SOC1P8PLL, VMEMIOAB/CD, VTT[ABCD] unstable. Check C4F21, C9E11 and C6C14."
"XOP","SMC","0xE084",,1,"FATAL_SBPOWERUP2_HW_FAILURE","Thrown when console unplugged unexpectedly, SBPOWERUP2 failed while console is on, unstable"
"XOP","SMC","0xE085",,1,"FATAL_PWRGPB_FAILURE","Thrown when console unplugged unexpectedly, VREG_PWRGPB_PWRGD went low while console was on, V_FUSE, V_SOCPHY, V_NBCORE or V_MEMCORE unstable. Check C6F9, C6F12 and C6E15."
"XOP","SMC","0xE086",,1,"FATAL_CPUGFX_FAILURE","Thrown when console unplugged unexpectedly, CPUGFX_PWRGD went low while console was on. Check output filtering C8D1, C8D2, C8D4, C8E1, C8E5, C8E8, C8E10. General corrosion / timing problem in NCP area? Replace NCP"
"XOP","SMC","0xE089",,1,"FATAL_NBCORE","U5F3 I2C unreachable -> Check surrounding traces, R5F12, R5F15, replace U5F3"
"XOP","SMC","0xEB40",,1,"BOOT_SBUNRESETWAIT","V_SB2P5, V_SB1P1, V_SB1P8 timeout, unable to unreset southbridge. Check short on V_SB2P5, V_SB1P1, V_SB1P8, replace U3D3, U3E1 or U3D5 or surrounding resistors, check Check U3E3, R7T6, replace southbridge"
"XOP","SMC","0xEB41",,1,"BOOT_PSPBOOTACKWAIT_DONE","Waiting for PSP Boot Acknowledge finished, APU <-> SB communication failed on SMBUS3, no PSP boot acknowledge, check R4D31, R4D38. V_FUSE/V_SOC1P8 unavailable, check resistance and voltage on both, if missing U5C3 or U6D1 related. Cause can be APU not receiving PWROK from SB (Check R5R5, R5R6), Check V_SOC1P8VDD (FB6D1), reball APU, APU."
"XOP","SMC","0xEB42",,1,"BOOT_PSPPORSPEWWAIT_DONE","PSP Power-On Reset spew wait done, unable to unreset APU, APU stuck in reset -> Check R5R9, R5T10, reball APU, APU."
"XOP","SMC","0xEB43",,1,"BOOT_SOCUNRESETWAIT_DONE","SOC unreset wait complete"
"XOP","SMC","0xEB44",,1,"BOOT_SOCFLASHACCWAIT","SOC flash access wait done"
"XOP","SMC","0xEB45",,1,"BOOT_SOCPOST_DONE","SOC POST (Power-On Self-Test) wait done, seen with cracked apu, faulty CPU?"
"XOP","SMC","0xEB46",,1,"BOOT_XSS_TIMEOUT_46","XSS wait timeout (SOC not responding) (MOST COMMON CAUSE U5B2 DAMAGED/MISSING) - error fallback 0xeb46 right AFTER 0x007x - VTT[ABCD]/V_Memio timeout, check resistances & voltage. 0xeb46 right AFTER 0x045x - APU <-> VRM CONTROLLER SVI2 communication attempt failed, possibly check/replace Ethernet IC (U6N1). Check R9C4, R2R2, R2R3, replace ncp, reball APU, APU"
"XOP","SMC","0xEB47",,1,"BOOT_XSS_TIMEOUT_47","XSS wait timeout fallback path (word_20000090 nonzero)"
"XOP","SMC","0xEB48",,1,"BOOT_SOCPOWEROK_DONE","SOC power OK complete"
"XOP","SMC","0xEB49",,1,"BOOT_COND_EARLY_ABORT","Conditional POST on XSSActiveWait() return < 0 - XSS wait failed - early abort"
"XOP","SMC","0xEB4C",,1,"BOOT_FAIL_UNKNOWN","seen with V_3P3_ENET short, late V3P3 shutdown or low? Usually communication issue on PEX between southbridge <-> APU, check C7E1, C7E3, C7E5, C7E7, C7E6, C7E8 / traces corrosion, replace southbridge, reball apu."
"XOP","SMC","0xEA01",,1,"RESET_PSPACK_MISSING","Unexpected PSP Boot Ack not received"
"XOP","SMC","0xEA02",,1,"RESET_FATAL_THERMAL_PENDING","Fatal or thermal error pending during wait"
"XOP","SMC","0xEA03",,1,"RESET_TIMEOUT","Reset wait timeout"
"XOP","SMC","0xEA04",,1,"RESET_PIMACK_FAIL","HandlePIMBootAck or response fails"
"XOP","SMC","0xEA05",,1,"RESET_PIM_BOOT_INCOMPLETE","PIM boot ack or early boot signal incomplete"
"XOP","SMC","0xEA06",,1,"RESET_BITMASK_INVALID","Bitmask condition not met (& 5 == 0)"
"XOP","SMC","0xEAFF",,1,"RESET_INVALID_STATE","Invalid state detected"
"XOP","SMC","0xEC01",,1,"RUNTIME_GET_SOCSyncFLOOD_STATE","Triggered if SOC_SyncFlood() returns true. APU -> RAM communication failed while on. reball/replace rams, reball apu"
"XOP","SMC","0xEC02",,1,"RUNTIME","Happens if sub_10001532 fails after repeated attempts maybe Timeout waiting for PCIe device"
"XOP","SMC","0xEC03",,1,"RUNTIME","PLL_Clk_Maybe() failed, likely clock not stable"
"XOP","SMC","0xEC04",,1,"RUNTIME_EXTPOST","General Error - Often byproduct, low priority. Last code before EC04 is usually the actual error"
"XOP","SMC","0xEC05",,1,"RUNTIME_05","General Error - Often byproduct, low priority. Last code before EC04 is usually the actual error."
"XOP","SMC","0xEC06",,1,"RUNTIME_06","General Error - Often byproduct, low priority. Last code before EC04 is usually the actual error."
"XOP","SMC","0xEC07",,1,"RUNTIME_07",
"XOP","SMC","0xEC09",,1,"RUNTIME_GET_SBSystemSubmode","Final PCIe init or handshake failure"
"XOP","SMC","0xEC0B",,1,"RUNTIME_I2C_CLEARMSG","I2C bus failed to clear. Pi pico hickup, check all I2C devices (Frontpanel, U5F3, U3E2, U6C1, U9C2, U9F2), southbridge."
"XOP","SMC","0xEC0E",,1,"RUNTIME_TIMEOUT",
"XOP","SMC","0xEC0F",,1,"ENET3","User report: The network IC was failing, but it wasn't showing any shorts around it."
"XOP","CPU","0x0C80",,1,"2BL_PSQ_MISSMATCH","Possible EMMC corruption, thrown when not matching firmware version in EMMC"
"XOP","SMC","0xE421",,1,"THERMAL_22","APU to SB: Thermal trip -> Check R5R8, R5R7, traces, reball southbridge or apu, apu tempsensor fault. Is the console just overheating?"
"XOP","SMC","0xE422",,1,"THERMAL_22",
"XOP","SMC","0xE423",,1,"THERMAL_23",
"XOP","SMC","0xE424",,1,"THERMAL_24",
"XOP","CPU","0x9184",,1,"MEMORY_OG","General memory error (MEM <-> APU), check both V_Memio / and 4 VTT A-D resistances&voltages, check resistors around rams, replace rams (ZQ method?), reball apu."
"XOS","SMC","0xE001",,1,"FATAL_V12","Bad powersupply? V_12P0_GATED not available / not detected / timeout. -> Check short on V_12P0_GATED, check V_EXT (R5T18, R5T26), Q9D1, R9C24, Q1P2"
"XOS","SMC","0xE002",,1,"FATAL_OLD5","Ignore"
"XOS","SMC","0xE003",,1,"FATAL_PWRGPA","PWRGPA timeout / not reporting PWRGD -> Check U9F1, R6T4, Q9F1, Q9F2, surrounding resistors/capacitors. V_Memio or V_VTTB short ?"
"XOS","SMC","0xE004",,1,"FATAL_SBPOWERUP2",
"XOS","SMC","0xE005",,1,"FATAL_PWRGPB","PWRGPB timeout / not reporting PWRGD -> Check short on V_SOCPHY, V_NBCORE (can be low resistance, dont confuse with a short!). Pull VREG_PWRGPB_EN to V_3P3STBY manually and check V_SOCPHY, V_NBCORE voltages. R5U9, U5F5, U5F3, Q6F1, Q6F2, surrounding caps and resistors."
"XOS","SMC","0xE006",,1,"FATAL_CPUGFX","CPUGFX_PWRGD timeout / not reporting PWRGD -> Check resistance V_CPUCORE, V_GFXCORE (possible overcurrentshutdown? they can be low resistance, dont confuse with a short!), check drivers U9D2, U9E1, U9E2, all 6 mosfets, surrounding resistors and U9C2."
"XOS","SMC","0xE007",,1,"FATAL_FAN_STARTUP",
"XOS","SMC","0xE008",,1,"FATAL_SBPOWERUP1","Wait for `SBPowerUp1(0)` to complete"
"XOS","SMC","0xE009",,1,"FATAL_09",
"XOS","SMC","0xE00A",,1,"FATAL_FAN_RUN",
"XOS","SMC","0xE010",,1,"FATAL_POWER_STABILIZE_RETRY","Voltage low / unstable. check capacitors"
"XOS","SMC","0xE011",,1,"THERMAL_OVERTEMP_THRESHOLD","Overtemperature unknown"
"XOS","SMC","0xE046",,1,"FATAL_GFXCPU_I2C_UNREACHABLE","NCP4205 I2C unreachable -> Check R9C29, R9C30, R9D23, surrounding traces, check V_5P0_GATED available? (R9D30, Q8D1), replace U9C2"
"XOS","SMC","0xE081",,1,"FATAL_V12_HW_FAILURE","Thrown when console unplugged unexpectedly. bad powersupply? V_12P0_GATED failed while on, check V_EXT (R5T18, R5T26), Q9D1, R9C24"
"XOS","SMC","0xE082",,1,"FATAL_HW_FAILURE_OLD5","Thrown when console unplugged unexpectedly. Ignore"
"XOS","SMC","0xE083",,1,"FATAL_PWRGPA_HW_FAILURE","Thrown when console unplugged unexpectedly. PWGRPA failed while on, check output capacitors for V_Memio (C9E8)."
"XOS","SMC","0xE084",,1,"FATAL_SBPOWERUP2_HW_FAILURE","Thrown when console unplugged unexpectedly. SBPOWERUP2 failed while console is on, unstable"
"XOS","SMC","0xE085",,1,"FATAL_PWRGPB_FAILURE","Thrown when console unplugged unexpectedly. PWGRPB failed while on, check output capacitors for V_SOCPHY (C5F5, C5F6), V_NBCORE (C5E10, C5E11). "
"XOS","SMC","0xE086",,1,"FATAL_CPUGFX_FAILURE","Thrown when console unplugged unexpectedly. CPUGFX_PWRGD failed while on, check output capacitors for V_CPUCORE, V_GFXCORE (C8D1, C8D2, C8D3, C8E1, C8E2, C8E3). Replace NCP"
"XOS","SMC","0xE089",,1,"FATAL_NBCORE","U5F3 I2C unreachable -> Check surrounding traces, R5F17, R5F9, Q6F1 and Q6F2. Replace U5F3"
"XOS","SMC","0xEB40",,1,"BOOT_SBUNRESETWAIT","V_SB1P1, V_SB1P8 timeout, unable to unreset southbridge. Check short on V_SB1P1, V_SB1P8, check U3E1 or U3F1 or surrounding resistors"
"XOS","SMC","0xEB41",,1,"BOOT_PSPBOOTACKWAIT_DONE","APU <-> SB communication failed on SMBUS3, no PSP boot acknowledge (R3T1, R3T2, R5T5, R5T6, R4E29, R4E28), can be caused by: V_FUSE/V_SOC1P8/V_SOCPHY unavailable -> Check R5D10, U5D3, R5D9, D5D2, D5D1, R5R11, R5R10, U5D2, R6D6, R5D6, seen with low V3P3, possible V_3P3_ENET short. Can be APU not receiving PWROK from SB (Check R5T29, R5T28)Check V_SOC1P8VDD (FB6D1), reball APU, APU."
"XOS","SMC","0xEB42",,1,"BOOT_PSPPORSPEWWAIT_DONE","PSP Power-On Reset spew wait done, unable to unreset APU, APU stuck in reset -> Check R5T31, R5T13, APU."
"XOS","SMC","0xEB43",,1,"BOOT_SOCUNRESETWAIT_DONE","SOC unreset wait complete"
"XOS","SMC","0xEB44",,1,"BOOT_SOCFLASHACCWAIT","SOC flash access wait done"
"XOS","SMC","0xEB45",,1,"BOOT_SOCPOST_DONE","SOC POST (Power-On Self-Test) wait done failed. Seen with cracked APU, bad apu?"
"XOS","SMC","0xEB46",,1,"BOOT_XSS_TIMEOUT_46","XSS wait timeout (SOC not responding) (MOST COMMON CAUSE U6N1 DAMAGED/MISSING) - error fallback 0xeb46 right AFTER 0x007x - VTT[ABCD]/V_Memio timeout, check resistances & voltage. 0xeb46 right AFTER 0x04c5 - V3P3 unavailable, check short, check U5D4, C5D5, R9C31, R5D11, R5D13. 0xeb46 right AFTER 0x045x - APU <-> VRM CONTROLLER SVI2 communication attempt failed. check resistance on all apu rails, can show partial dead core (V_Memio?). Check R9D3, R2R2, R2R1, R9C23, R1P21, replace ncp, APU."
"XOS","SMC","0xEB47",,1,"BOOT_XSS_TIMEOUT_47","XSS wait timeout fallback path (word_20000090 nonzero)"
"XOS","SMC","0xEB48",,1,"BOOT_SOCPOWEROK_DONE","SOC power OK complete"
"XOS","SMC","0xEB49",,1,"BOOT_COND_EARLY_ABORT","Conditional POST on XSSActiveWait() return < 0 - XSS wait failed - early abort"
"XOS","SMC","0xEB4C",,1,"BOOT_FAIL_UNKNOWN","seen with V_3P3_ENET short, late V3P3 shutdown or low? Usually communication issue on PEX between southbridge <-> APU, check C7E4, C7E3, C7E2, C7E1, C5T39, C5T4 / traces corrosion, replace southbridge, reball apu."
"XOS","SMC","0xEA01",,1,"RESET_PSPACK_MISSING","Unexpected PSP Boot Ack not received"
"XOS","SMC","0xEA02",,1,"RESET_FATAL_THERMAL_PENDING","Fatal or thermal error pending during wait"
"XOS","SMC","0xEA03",,1,"RESET_TIMEOUT","Reset wait timeout"
"XOS","SMC","0xEA04",,1,"RESET_PIMACK_FAIL","HandlePIMBootAck or response fails"
"XOS","SMC","0xEA05",,1,"RESET_PIM_BOOT_INCOMPLETE","PIM boot ack or early boot signal incomplete"
"XOS","SMC","0xEA06",,1,"RESET_BITMASK_INVALID","Bitmask condition not met (& 5 == 0)"
"XOS","SMC","0xEAFF",,1,"RESET_INVALID_STATE","Invalid state detected"
"XOS","SMC","0xEC01",,1,"RUNTIME_GET_SOCSyncFLOOD_STATE","Triggered if SOC_SyncFlood() returns true. APU -> RAM communication failed while on. reball/replace rams, reball apu"
"XOS","SMC","0xEC02",,1,"RUNTIME","Happens if sub_10001532 fails after repeated attempts maybe Timeout waiting for PCIe device"
"XOS","SMC","0xEC03",,1,"RUNTIME","PLL_Clk_Maybe() failed, likely clock not stable"
"XOS","SMC","0xEC04",,1,"RUNTIME_EXTPOST","General Error - Often byproduct, low priority. Last code before EC04 is usually the actual error"
"XOS","SMC","0xEC05",,1,"RUNTIME_05","General Error - Often byproduct, low priority. Last code before EC04 is usually the actual error."
"XOS","SMC","0xEC06",,1,"RUNTIME_06","General Error - Often byproduct, low priority. Last code before EC04 is usually the actual error."
"XOS","SMC","0xEC07",,1,"RUNTIME_07",
"XOS","SMC","0xEC09",,1,"RUNTIME_GET_SBSystemSubmode","Final PCIe init or handshake failure"
"XOS","SMC","0xEC0B",,1,"RUNTIME_I2C_CLEARMSG","0xec0b - I2C bus failed to clear. Pi pico hickup, check all I2C devices (U5F3, U9C2), southbridge."
"XOS","SMC","0xEC0E",,1,"RUNTIME_TIMEOUT",
"XOS","SMC","0xEC0F",,1,"ENET3","User report: The network IC was failing, but it wasn't showing any shorts around it."
"XOS","CPU","0x0C80",,1,"2BL_PSQ_MISSMATCH","Possible EMMC corruption, thrown when not matching firmware version in EMMC"
"XOS","SMC","0xE421",,1,"THERMAL_21","APU to SB: Thermal trip -> Can be caused by missing V_SOC1P8, check U5D2, R6D6, R5D6. Check R5T27, R5T3, R5E12, R5T7, R5E11, U5E2, R5E9, R5E8, R5T42, apu tempsensor fault. Short on C7D1? Is the apu just too hot? "
"XOS","SMC","0xE422",,1,"THERMAL_22",
"XOS","SMC","0xE423",,1,"THERMAL_23",
"XOS","SMC","0xE424",,1,"THERMAL_24",
"XOS","CPU","0x9134",,1,"MEMORY_S","General memory error (MEM <-> APU), check V_Memio / VTT A-D resistances&voltages, check resistors around rams, replace rams (ZQ method?), reball apu."
"XOS","CPU","0x05f9",,1,"MEMORY_S_BYP","Thrown with memory error on ONE S"
"XOP,XOS,XOX","CPU","0x82FF",,1,"UNKNOWN1","User report: Possible APU failure, pressing on APU throws different errors, reball APU"
"XOX","SMC","0xE08C",,1,"APU_FAIL_1","User report: Possible APU failure"
"XOX","SMC","0xE090",,1,"APU_FAIL_2","User report: Possible APU failure"
"XOX","SMC","0xeb46",,1,"BOOT_XSS_TIMEOUT_46","XSS wait timeout (SOC not responding) (Possibly U28 damaged/Missing?)"
"XSS,XSX","SMC","0xEB40",,1,"BOOT_SBUNRESETWAIT","Unable to unreset southbridge: V_SB1P1 or V_SB1P8 shorted? Check V_SB1P1/V_SB1P8 voltage while on. Possible southbridge missing clock, thrown with FB3/FB4 removed, U17 or U2 bad? replace southbridge"
"XSS,XSX","SMC","0xEB41",,1,"BOOT_PSPBOOTACKWAIT_DONE","APU is not responding: V_CPUCORE/V_GFXCORE available while on? Possible missing/shorted V_SOCPHY, V_FUSE, V3p3. Apu cracked?"
"XSS,XSX","SMC","0xEB45",,1,"SSD_INIT1","no codes while standby, after powerbuttonpress; 30 sec on/off: SSD undetected. Check SSD Health in PC with Crystaldiskinfo"
"XSS,XSX","SP","0xEB4C",,1,"PEX_COMM","Known unknown, Usually communication issue on PEX between southbridge <-> APU, reseat >board to board flex< (is B2B flex or connector damaged?). Some very tiny capacitors near B2B connector and back of apu cause this error. Replace southbridge, reball apu."
"XSS,XSX","SMC","0x0a80",,1,"SSD_INIT2","1 sec on/off: Thrown with SSD missmatch, possibly corrupted/bad ssd?"
"XSS,XSX,XOX","SP","0x00A8",,1,"SOCOFF","APU lost communication with RAM -> Usually APU reball needed. replace/reball rams, bad apu? Tip: By cooling console with external fan, can stop crashing. Reason: Less heat = Less board bend = cracked balls stay together."
"XSS,XSX","SP","0x0781",,1,"DECRYPT_1","Missmatched SSD or corrupted NOR."
"XSS,XSX","SP","0x01A3",,1,"DECRYPT_2","Seen with Missmatched SSD. Corrupted NOR/SSD."
"XSS,XSX,XOX","SMC","0xEC01",,1,"RUNTIME_GET_SOCSyncFLOOD_STATE","Low priority: Triggered if SOC_SyncFlood() returns true. APU -> RAM communication failed while on. reball/replace rams, reball apu"
"XSS,XSX","SMC","0xEC04",,1,"RUNTIME_EXTPOST","SMC shutdown, General Error - Often byproduct, low priority. Last code before EC04 is usually the actual error."
"XSS,XSX","SMC","0xE422",,1,"THERMAL_22","APU Thermal shutdown, TOO HOT"
"XSS,XSX","SP","0x01C0",,1,"UNKNOWN_CLK_1","Known unknown, thrown with 62FC when removing FB0. U17 unable to bring up PCIE CLock lines?"
"XSS,XSX","SP","0x62FC",,1,"UNKNOWN_CLK_2","Known unknown, thrown with 01C0 when removing FB0. U17 unable to bring up PCIE CLock lines?"
"XSS,XSX","SP","0x04E6",,1,"BL_MISS","Known unknown, thrown with missmatched southbridge board. NOR/SSD corruption?"
"XSS,XSX","OS","0xA113",,1,"ENET_INIT","Failing to initialize Ethernet ic -> replace U47"
"XSS,XSX","SP","0x0007",,1,"APU_SHUTDOWN","APU shutdown, General Error - Often byproduct, low priority."
"XSS","SMC","0xE046",,1,"SMC_FATAL_GFXCPU_I2C_UNREACHABLE","GFXCORE/CPUCORE regulator did not respond through i2c -> check R231, R233, C391, R563, surrounding traces/corrosion, replace U57"
"XSS","SMC","0xE04C",,1,"SMC_FATAL_MEMPHYIOSOC_I2C_UNREACHABLE","MEMPHY/MEMIO/SOC regulator did not respond through i2c -> 3p3stby available on R171? (if no, investigate U54 area). if 3p3stby available, check R171, C18, R655, R675, surrounding traces/corrosion, replace U480"
"XSX","SMC","0xE046",,1,"SMC_FATAL_GFXCPU_I2C_UNREACHABLE","GFXCORE/CPUCORE regulator did not respond through i2c -> check R231, R233, C391, R563 surrounding traces/corrosion, replace U57"
"XSX","SMC","0xE04C",,1,"SMC_FATAL_MEMPHYIOSOC_I2C_UNREACHABLE","MEMPHY/MEMIO/SOC regulator did not respond through i2c -> 3p3stby available on R171? (if no, investigate U54 area). if 3p3stby available, check R171, C18, R143, R133, surrounding traces/corrosion, replace U480"
"XSS","SMC","0xE003",,1,"FATAL_PWRGPA","Low priority: General Powergroup A failure, Check R132(12v/0,7v) and R676(0,7v/GND) voltages, if 12v missing on R132, make jumper wire for 12v. if 0,7v missing, replace R132,R676,C1441. If 0,7v okay: (V_MEMIO) missing/timout: Check short on V_MEMIO, related to U480 and U32"
"XSX","SMC","0xE003",,1,"FATAL_PWRGPA","Low priority: General Powergroup A failure, Check R132(12v/0,7v) and R140(0,7v/GND) voltages, if 12v missing on R132, make jumper wire for 12v. if 0,7v missing, replace R132,R140,C169. If 0,7v okay: (V_MEMIO) missing/timout: Check short on V_MEMIO, related to U480, U32 and U60"
"XSS","SMC","0xE005",,1,"FATAL_PWRGPB","Low priority: General Powergroup B failure (V_MEMPHY/V_SOC) missing/timout: Check shorts on V_MEMPHY/V_SOC. Related to U480, U62, U0, U59"
"XSX","SMC","0xE005",,1,"FATAL_PWRGPB","Low priority: General Powergroup B failure (V_MEMPHY/V_SOC) missing/timout: Check shorts on V_MEMPHY/V_SOC. Related to U480, U31, U62, U0, U59"
"XSS","SMC","0xE006",,1,"FATAL_CPUGFX","Low priority: VREG_PWRGPAB_CPUGFX_PWRGD missing/timout: Check shorts on V_DRAM1P8, V_SOC1P8, V_SOCPHY. U480, U402, U400, U129 and U57 drive this signal low when a fault is detected."
"XSX","SMC","0xE006",,1,"FATAL_CPUGFX","Low priority: VREG_PWRGPAB_CPUGFX_PWRGD missing/timout: Check shorts on V_DRAM1P8, V_SOC1P8, V_SOCPHY. U681, U7, U129, U57 and U480 drive this signal low when a fault is detected."
"XSS","SMC","0xE090",,1,"FATAL_POWERS0","V_CPUCORE powerrail Error. Check short on V_CPUCORE, replace U55, U410, corrosion or defective surrounding resistors? check, replace U57"
"XSX","SMC","0xE090",,1,"FATAL_POWERX0","V_CPUCORE powerrail Error. Check short on V_CPUCORE, replace U55, U1013, corrosion or defective surrounding resistors? check, replace U57"
"XSS","SMC","0xE091",,1,"FATAL_POWERS1","V_GFXCORE powerrail Error, V_GFXCORE is low resistance, dont confuse with short!. Check R252(12v/0,7v), R253(0,7v/GND) voltage. if 12v missing on R252, make jumper wire for 12v. if 0,7v missing, replace R252,R253,C395. If 0,7v okay: Replace U41, U52, U46, U408, corrosion or defective surrounding resistors? check, replace U57"
"XSX","SMC","0xE091",,1,"FATAL_POWERX1","V_GFXCORE powerrail Error, V_GFXCORE is low resistance, dont confuse with short!. Check R252(12v/0,7v), R253(0,7v/GND) voltage. if 12v missing on R252, make jumper wire for 12v. if 0,7v missing, replace R252,R253,C395. If 0,7v okay: Replace U41, U52, U46, U48, U1000, U1001, U4, corrosion or defective surrounding resistors? check, replace U57"
"XSS","SMC","0xE092",,1,"FATAL_POWERS2","V_MEMIO powerrail Error. Check short on V_MEMIO, replace U32, corrosion or defective surrounding resistors? check, replace U480"
"XSX","SMC","0xE092",,1,"FATAL_POWERX2","V_MEMIO powerrail Error. Check short on V_MEMIO, replace U32, U60, corrosion or defective surrounding resistors? check, replace U480"
"XSS","SMC","0xE093",,1,"FATAL_POWERS3","V_MEMPHY powerrail Error. Check short on V_MEMPHY, replace U62, corrosion or defective surrounding resistors? check, replace U480"
"XSX","SMC","0xE093",,1,"FATAL_POWERX3","V_MEMPHY powerrail Error. Check short on V_MEMPHY, replace U62, U31, corrosion or defective surrounding resistors? check, replace U480"
"XSS","SMC","0xE094",,1,"FATAL_POWERS4","V_SOC powerrail Error. Check short on V_SOC, replace (U0 v1 console only), U59, corrosion or defective surrounding resistors? check, replace U480"
"XSX","SMC","0xE094",,1,"FATAL_POWERX4","V_SOC powerrail Error. Check short on V_SOC, replace U0, U59, corrosion or defective surrounding resistors? check, replace U480"
"XSS","SMC","0xE08C",,1,"VINSEN_FATAL","Thrown when console is unplugged unexpectedly. User report: Check voltage on VINSEN"
"XSX","SMC","0xE08C",,1,"VINSEN_FATAL","Thrown when console is unplugged unexpectedly. User report: Check voltage on VINSEN"
"XSS,XSX","SP","0x0301",,0,"BOOT_SUCCESS",
"XSS,XSX","CPU","0x3600",,0,"BOOT_SUCCESS",
"XSS","SP","0xCC01","0xFC01",1,"RAM_ERR_BANK_A","Bank A1 or/and A2 failure: Check resistors/traces surrounding bank A1 and A2. Reball bank A1 or/and A2. Replace bank A1 or/and A2. Reball APU, APU."
"XSS","SP","0xCC04","0xFC04",1,"RAM_ERR_BANK_B","Bank B failure: Check resistors/traces surrounding bank B. Reball bank B. Replace bank B. Reball APU, APU."
"XSS","SP","0xCC08","0xFC08",1,"RAM_ERR_BANK_C","Bank C failure: Check resistors/traces surrounding bank C. Reball bank C. Replace bank C. Reball APU, APU."
"XSS","SP","0xCC02","0xFC02",1,"RAM_ERR_BANK_D","Bank D failure: Check resistors/traces surrounding bank D. Reball bank D. Replace bank D. Reball APU, APU."
"XSX","SP","0xCC01","0xFC01",1,"RAM_ERR_BANK_E","Bank E failure: Check resistors/traces surrounding bank E. Reball bank E. Replace bank E. Reball apu, APU."
"XSX","SP","0xCC02","0xFC02",1,"RAM_ERR_BANK_F","Bank F failure: Check resistors/traces surrounding bank F. Reball bank F. Replace bank F. Reball apu, APU."
"XSX","SP","0xCC04","0xFC04",1,"RAM_ERR_BANK_B","Bank B failure: Check resistors/traces surrounding bank B. Reball bank B. Replace bank B. Reball apu, APU."
"XSX","SP","0xCC08","0xFC08",1,"RAM_ERR_BANK_I","Bank I failure: Check resistors/traces surrounding bank I. Reball bank I. Replace bank I. Reball apu, APU."
"XSX","SP","0xCC10","0xFC10",1,"RAM_ERR_BANK_D","Bank D failure: Check resistors/traces surrounding bank D. Reball bank D. Replace bank D. Reball apu, APU."
"XSX","SP","0xCC20","0xFC20",1,"RAM_ERR_BANK_G","Bank G failure: Check resistors/traces surrounding bank G. Reball bank G. Replace bank G. Reball apu, APU."
"XSX","SP","0xCC40","0xFC40",1,"RAM_ERR_BANK_C","Bank C failure: Check resistors/traces surrounding bank C. Reball bank C. Replace bank C. Reball apu, APU."
